Time–Die Zeit_Die Zeiten
Rim–Der Rand_Die Felgen
Paw–Die Pfote_Die Pfoten
Fort–Die Festung_Die Forts
Cost–Die Kosten_Die Kosten
Poster–Das Plakat_Die Poster
Vampire–Der Vampir_Die Vampire
Shaft–Die Welle_Die Wellen
Identity–Die Identität_Die Identitäten
Pavement–Der Bürgersteig_Die Bürgersteige
Asshole–Das Arschloch_Die Arschlöcher
Strap–Der Gurt_Die Gurte
Parlor–Das Wohnzimmer_Die Stuben
Harbor–Der Hafen_Die Häfen
Example–Das Beispiel_Beispiele
Web–Das Netz_Die Stege
Golf–Der Golf_Die Golfplätze
Crap–Den Mist_Scheißt
Delight–Die Freude_Die Freuden
Quilt–Die Decke_Diese Decken
Tax–Die Steuer_Die Taxs
Fold–Die Falte_Die Falten
Portrait–Das Porträt_Die Porträts
Tissue–Das Gewebe_Die Gewebe
Belief–Der Glaube_Die Überzeugungen
Costume–Das Kostüm_Die Kostüme
Measure–Das Maß_Maßnahmen
Carriage–Der Wagen_Die Wagen
Guitar–Die Gitarre_Die Gitarren
Knight–Der Ritter_Die Ritter
Rank–Der Rang_Die Reihen
Major–Der Bürgermeister_Die Majors
Fountain–Der Brunnen_Die Brunnen
Stall–Der Stall_Die Stände
Load–Die Ladung_Die Lasten
Spark–Der Funke_Die Funken
Waste–Der Müll_Die Abfälle
Champagne–Der Champagner_Die Champagner
District–Das Viertel_Die Bezirke
Protection–Der Schutz_Die Schutz
Judgment–Das Urteil_Die Urteile
Sympathy–Die Sympathie_Die Sympathien
Violet–Das Violett_Die Veilchen
Impact–Der Aufprall_Die Auswirkungen
Disappointment–Die Enttäuschung_Die Enttäuschungen
Drinking–Das Trink_Die Drinkings
Consciousness–Das Bewusstsein_Die Bewussts
Handkerchief–Das Taschentuch_Die Taschentücher
Dancing–Das Tanzen_Die Dancings
Perfume–Das Parfüm_Die Düfte
Network–Das Netzwerk_Die Netzwerke
Claim–Der Anspruch_Die Ansprüche
Nun–Die Nonne_Die Nonnen
Crown–Die Krone_Die Kronen
Railing–Das Geländer_Die Geländer
License–Die Lizenz_Die Lizenzen
Mercy–Die Barmherzigkeit_Die Barmherzigkeit
Balloon–Der Ballon_Die Ballons
Chaos–Das Chaos_Die Chaoses
Fever–Das Fieber_Die Fieber
Locker–Das Schließfach_Die Schließfächer
Session–Die Sitzung_Die Sitzungen
Burst–Die Burst_Die Bursts
Peak–Der Spitzer_Die Peaks
Drum–Die Trommel_Die Trommeln
Focus–Der Fokus_Die Schwerpunkte
Frog–Der Frosch_Die Frösche
Benefit–Der Vorteil_Die Vorteile
Remark–Die Bemerkung_Die Bemerkungen
Tide–Die Gezeiten_Die Gezeiten
Suspicion–Der Verdacht_Der Verdacht
Jeep–Der Jeep_Die Jeeps
Worry–Die Sorge_Die Sorgen
Literature–Die Literatur_Die Literaturen
Archer–Der Bogenschütze_Die Bogenschützen
Household–Der Haushalt_Die Haushalte
Powder–Das Pulver_Die Pulver
Shepherd–Der Hirte_Die Hirten
Lens–Die Linse_Die Linsen
Favorite–Der Favorit_Die Favoriten
Madame–Die Madame_Die Madames
Mansion–Die Villa_Die Herrenhäuser
Boom–Der Boom_Die Ausleger
Lace–Die Spitze_Die Schnürsenkel
Review–Die Überprüfung_Die Bewertungen
Reception–Die Rezeption_Die Empfänge
Scrap–Der Schrott_Die Fetzen
Bead–Der Wulst_Die Perlen
Glare–Die Blendung_Die Blicke
Flow–Die Strömung_Die Ströme
Cafe–Das Cafe_Die Cafés
Status–Der Status_Die Zustände
Pounding–Das Pochen_Die Poundings
Rocket–Die Rakete_Die Raketen
Canyon–Die Schlucht_Die Schluchten
Sorrow–Die Trauer_Die Leiden
Spider–Die Spinne_Die Spinnen
Blast–Die Explosion_Die Blasten
Personality–Die Persönlichkeit_Die Persönlichkeiten
Campus–Der Campus_Die Campus
Curse–Der Fluch_Die Flüche
Staircase–Das Treppenhaus_Die Treppenhäuser
Urge–Der Drang_Die Triebe
Frustration–Die Frustration_Die Frustrationen
Pump–Die Pumpe_Die Pumpen
Ease–Die Leichtigkeit_Die Kungen
Count–Die Zählung_Die Grafen
Solution–Die Lösung_Die Lösungen
Jewelry–Der Schmuck_Die Schmuck
Siren–Die Sirene_Die Sirenen
Hit–Der Schlag_Die Treffer
Tradition–Die Tradition_Die Traditionen
Curb–Das Leer_Die Bordsteine
Variety–Die Vielfalt_Die Sorten
Pirate–Der Pirat_Die Piraten
Description–Die Beschreibung_Beschreibungen
Dear–Der Liebe_Die Lieben
Anxiety–Die Angst_Die Ängste
Pitch–Die Tonhöhe_Die Stellplätze
Pizza–Die Pizza_Die Pizzas
Elephant–Der Elefant_Die Elefanten
Politics–Die Politik_Die Politicses
Tennis–Der Tennis_Die Tennises
Hunger–Der Hunger_Die Hungert
Genius–Das Genie_Die Genies
Goat–Die Ziege_Die Ziegen
Victory–Der Sieg_Die Siege
Combination–Die Kombination_Kombinationen
Affiliation–Die Zugehörigkeit_Die Zugehörigkeiten
Momma–Das Momma_Die Mommas
Cape–Der Umhang_Die Umhänge
Headlight–Der Scheinwerfer_Die Scheinwerfer
Governor–Der Gouverneur_Die Gouverneure
Oxygen–Die Sauerstoff_Sauerstoffe
Bishop–Der Bischof_Die Bischöfe
Bundle–Das Bündel_Die Bündel
Development–Die Entwicklung_Die Entwicklungen
Fingernail–Der Fingernagel_Die Fingernägel
Score–Die Punktzahl_Die Noten
Mate–Der Steuermann_Die Mates
Rider–Der Fahrer_Die Fahrer
Orbit–Die Umlaufbahn_Die Bahnen
Vine–Der Weinstock_Die Reben
Suite–Die Suite_Die Suiten
Bartender–Der Barkeeper_Die Barkeeper
Coke–Der Koks_Die Kokse
Tune–Die Melodie_Die Melodien
Glory–Die Herrlichkeit_Die Herrlichkeiten
Rabbi–Der Rabbi_Die Rabbiner
Surgery–Die Operation_Die Operationen
Cattle–Das Vieh_Die Rinder
Ritual–Das Ritual_Die Rituale
Greeting–Die Begrüßung_Die Grüße
Slice–Die Scheibe_Die Scheiben
Homer–Die Homer_Die Home Runs
Fireplace–Der Kamin_Die Kamine
Jersey–Das Trikot_Die Trikots
Media–Die Medien_Die Medien
Pop–Die Pop_The Pops
Cargo–Die Fracht_Die Ladungen
Inn–Das Gasthaus_Die Gasthöfe
Deputy–Der Stellvertretende_Die Abgeordneten
Despair–Die Verzweiflung_Die Verzweiflungen
Territory–Das Territorium_Die Gebiete
Punch–Der Schlag_Die Stempel
Jazz–Die Jazz_Die Jazzs
Hug–Die Umarmung_Die Umarmungen
Whistle–Die Pfeife_Die Pfeifen
Humanity–Die Menschlichkeit_Geisteswissenschaften
Craft–Das Handwerk_Das Handwerk
Daylight–Das Tageslicht_Die Daylighies
Worth–Der Wert_Die Inneren Werte
Slip–Der Slip_Die Schieber
Armor–Die Rüstung_Die Rüstungen
Backpack–Der Rucksack_Die Rucksäcke
Suggestion–Der Vorschlag_Die Vorschläge
Den–Die Höhle_Dens
Symbol–Das Symbol_Die Symbole
Colony–Die Kolonie_Die Kolonien
Conclusion–Das Fazit_Die Schlussfolgerungen
Nostril–Das Nasenloch_Die Nasenlöcher
Spear–Der Speer_Die Speere
Impulse–Der Impuls_Die Impulse
Tomato–Die Tomate_Die Tomaten
Calf–Das Kalb_Die Kälber
Autumn–Der Herbst_Die Herbste
Discovery–Der Fund_Die Entdeckungen
Classroom–Das Klassenzimmer_Die Klassenzimmer
Delivery–Die Lieferung_Die Einteilungen
Spray–Das Spray_Die Spraies
Liquid–Die Flüssigkeit_Die Flüssigkeiten
Fuel–Die Kraftstoff_Die Kraftstoffe
Underwear–Die Unterwäsche_Die Unterwäsche
Dome–Die Kuppel_Die Kuppeln
Population–Die Bevölkerung_Die Populationen
Affection–Die Neigung_Die Neigungen
Religion–Die Religion_Die Religionen
Singer–Der Sänger_Die Sänger
Attendant–Der Begleiter_Die Teilnehmer
Illusion–Die Illusion_Die Illusionen
Link–Der Link_Links
Lounge–Das Wohnzimmer_Die Lounges
Interior–Der Innenraum_Die Innenräume
Shrug–Die Achselzucken_Die Zuckt Mit Den Schultern
Zone–Die Zone_Die Zonen
Standard–Der Standard_Die Standards
Coal–Die Kohlen_Die Kohlen
Chase–Die Jagd_Die Verfolgungsjagden
Lump–Der Klumpen_Die Klumpen
Charm–Der Charm_Der Charme
Legend–Die Legende_Die Legenden
Consequence–Die Konsequenz_Die Konsequenzen
Observation–Die Beobachtung_Die Beobachtungen
Bicycle–Das Fahrrad_Die Fahrräder
Harm–Der Schaden_Die Schäden
Pay–Die Zahlung_Das Zahlt
Prospect–Das Prospekt_Die Aussichten
Subway–Die UBahn_Die UBahnen
Sample–Das Muster_Die Beispiele
Cherry–Die Kirsche_Die Kirschen
Dealer–Der Händler_Die Händler
Assignment–Die Zuordnung_Die Zuordnungen
Hurry–Die Eile_Die Eilt
Mistress–Die Geliebte_Die Mätressen
Mound–Der Hügel_Die Hügel
Nonsense–Der Unsinn_Die Unsinn
Committee–Das Komitee_Die Ausschüsse
Echo–Das Echo_Die Echos
Slack–Der Durchhang_Die Hose
Decker–Die Decker_Die Decker
Warehouse–Das Warenhaus_Die Lagerhäuser
Bout–Der Kampf_Die Kämpfe
Toast–Der Toast_Die Toasts
Facility–Die Einrichtung_Die Einrichtungen
Basketball–Der Basketball_Die Basketbälle
Mustache–Der Schnurrbart_Die Schnurrbärte
Senator–Der Senator_Die Senatoren
Share–Das Teilen_Die Aktien
Eyelid–Das Augenlid_Die Augenlider
Enthusiasm–Die Begeisterung_Die Begeisterung
Chunk–Die Chunk_Die Brocken
Turtle–Die Schildkröte_Die Schildkröten
Alcohol–Der Alkohol_Die Alkohole
Gum–Die Gummi_Die Gummis
Turkey–Der Truthahn_Die Truthähne
Preacher–Der Prediger_Die Prediger
Possession–Der Besitz_Die Besitzungen
Dolly–Der Dolly_Die Dollies
Linen–Das Leinen_Die Bettwäsche
Apology–Die Entschuldigung_Die Entschuldigung
Lecture–Der Vortrag_Die Vorträge
Boulder–Der Stein_Die Felsbrocken
Heap–Der Heap_Die Haufen
Photographer–Der Fotograf_Die Fotografen
Brake–Die Bremse_Die Bremsen
Demand–Die Nachfrage_Die Forderungen
Apron–Die Schürze_Die Schürzen
Cloak–Der Mantel_Die Umhänge
Jury–Die Jury_Jurys
Hearing–Die Anhörung_Die Anhörungen
Gray–Das Graue_Die Grautöne
Crate–Die Kiste_Die Kisten
Method–Die Methode_Methoden
Reference–Die Referenz_Die Verweise
Disgust–Der Ekel_Die Ekelt
Liquor–Die Flotte_Die Flotten
Lipstick–Der Lippenstift_Lippenstifte
Core–Der Kern_Die Kerne
Individual–Der Einzelne_Die Personen
Container–Der Container_Die Behälter
Whore–Die Hure_Die Huren
Infant–Das Kleinkind_Die Säuglinge
Sunglasses–Die Sonnenbrille_Die Sunglasseses
Hose–Der Schlauch_Die Schläuche
Concert–Das Konzert_Konzerte
Bullshit–Das Bullshit_Die Bullshits
Railroad–Die Eisenbahn_Die Eisenbahnen
Parade–Die Parade_Die Paraden
Compartment–Das Fach_Die Abteile
Resident–Der Bewohner_Die Bewohner
Oven–Der Backofen_Die Öfen
Technician–Der Techniker_Die Techniker
Procedure–Das Verfahren_Die Verfahren
Fighter–Der Kämpfer_Die Kämpfer
Grain–Das Korn_Die Körner
Picnic–Das Picknick_Die Picknicks
Tribe–Der Stamm_Die Stämme
Bud–Die Knospe_Die Knospen
Meadow–Die Wiese_Die Wiesen
Public–Die Öffentlichkeit_Die Öffentlichkeit
Poison–Das Gift_Die Gifte
Buffalo–Der Büffel_Die Büffel
Region–Die Region_Die Regionen
Production–Die Produktion_Die Produktionen
Running–Das Rennen_Die Vorlauf
Loop–Die Schleife_Die Schlaufen
Sleeping–Der Schlaf_Die Übernachtungsplätzen
Soda–Die Soda_Die Limonaden
Owl–Die Eule_Die Eulen
Menu–Das Menü_Die Menüs
Kick–Der Kick_Die Tritte
Ruin–Die Ruine_Die Ruinen
Ramp–Die Rampe_Die Rampen
Streak–Der Streifen_Die Streifen
Forearm–Unterarm_Die Unterarme
Bureau–Das Büro_Die Büros
Knuckle–Der Achsschenkel_Die Knöchel
Goose–Die Gans_Die Gänse
Advance–Der Vormarsch_Die Fortschritte
Fairy–Die Fee_Die Feen
Illness–Die Krankheit_Die Krankheiten
Squad–Die Mannschaft_Die Kader
Official–Das Offizielle_Die Beamten
Brand–Die Marke_Die Marken
Organ–Die Orgel_Die Organe
Butterfly–Der Schmetterling_Die Schmetterlinge
Empire–Das Reich_Die Reiche
Profile–Das Profil_Die Profile
Liberty–Die Freiheit_Freiheiten
Disbelief–Der Unglaube_Die Unglauben
Grove–Der Hain_Die Haine
Shield–Das Schild_Die Abschirmungen
Saddle–Der Sattel_Die Sättel
Odds–Die Chancen_Die Oddses
Cluster–Die Cluster_Die Cluster
Satellite–Der Satellit_Die Satelliten
Trigger–Der Abzug_Die Auslöser
Puppy–Der Welpe_Die Welpen
Waiting–Die Warte_Die Erwartungen
Bulb–Die Glühbirne_Die Zwiebeln
Dresser–Die Kommode_Die Kommoden
Patrol–Die Patrouille_Die Patrouillen
Eagle–Der Adler_Die Adler
Privacy–Der Privatsphäre_Die Privatsphären
Fluid–Das Fluid_Fluide
Herd–Die Herde_Die Herden
Headache–Der Kopfschmerz_Die Kopfschmerzen
Amusement–Der Vergnügungspark_Vergnügungen
Wheelchair–Der Rollstuhl_Die Rollstühle
Policy–Die Richtlinie_Die Politik
Belle–Das Belle_Die Belles
Tobacco–Die Tabak_Die Tabake
Setting–Die Einstellung_Einstellungen
Tattoo–Die Tätowierung_Die Tattoos
Burden–Die Last_Die Lasten
Merchant–Der Händler_Die Kaufleute
Slide–Die Rutsche_Die Schieber
Stain–Der Fleck_Die Flecken
Eating–Das Essen_Die Eatings
Bond–Die Bindung_Die Anleihen
Swimming–Das Schwimmen_Die Swimming
Foundation–Die Grundlage_Die Grundlagen
Injury–Die Verletzung_Die Verletzungen Haben
League–Die Liga_Die Ligen
Battery–Die Batterie_Die Batterien
Umbrella–Der Regenschirm_Die Sonnenschirme
Emperor–Der Kaiser_Die Kaiser
Pier–Der Pier_Die Pfeiler
Tap–Der Wasserhahn_Die Wasserhähne
Wit–Der Witz_Die Verstand
Cutter–Der Cutter_Die Schneidwerkzeuge
Attic–Der Dachboden_Die Dachböden
Tiger–Der Tiger_Die Tiger
Pal–Die Pal_Die Kumpels
Ancestor–Der Vorfahr_Die Vorfahren
Concentration–Die Konzentration_Die Konzentrationen
Mount–Der Berg_Die Halterungen
Expense–Der Aufwand_Die Kosten
Blessing–Der Segen_Die Segnungen
Leave–Der Urlaub_Das Laub
Ledge–Die Leiste_Die Leisten
Torch–Die Fackel_Die Fackeln
Ink–Die Tinten_Die Tinten
Plot–Die Handlung_Die Grundstücke
Rent–Die Miete_Die Mieten
Mule–Das Maultier_Die Maultiere
Arch–Der Bogen_Die Bögen
Environment–Die Umgebung_Die Umgebungen
Frown–Das Stirnrunzeln_Die Stirn Runzelt
Inspector–Der Inspektor_Die Inspektoren
Midst–Die Mitten_Die Midsts
Embarrassment–Die Verlegenheit_Die Peinlichkeiten
Complaint–Die Beschwerde_Die Beschwerden
Portion–Die Portion_Die Portionen
Chuck–Das Spannfutter_Die Spann
Clearing–Die Clearing_Die Lichtungen
Crisis–Die Krise_Die Krisen
Necklace–Die Halskette_Die Halsketten
Lantern–Die Laterne_Die Laternen
Wealth–Der Reichtum_Die Reichtümer
Murderer–Der Mörder_Die Mörder
Civilization–Die Zivilisation_Die Zivilisationen
Concept–Das Konzept_Die Konzepte
Lamb–Das Lamm_Die Lämmer
Stride–Die Schritt_Die Fortschritte
Cuff–Die Manschette_Die Manschetten
Virgin–Die Jungfrau_Die Jungfrauen
Squirrel–Das Eichhörnchen_Die Eichhörnchen
Babe–Das Kind_Die Babes
Starling–Der Star_Die Stare
Depression–Die Depression_Die Vertiefungen
Storage–Das Speicher_Die Speicher
Altar–Der Altar_Die Altäre
Tragedy–Die Tragödie_Die Tragödien
Resource–Die Ressource_Die Mittel
Traveler–Der Reisende_Die Reisenden
Trust–Das Vertrauen_Die Trusts
Arc–Die Bogen_Die Bögen
Kingdom–Das Königreich_Die Königreiche
Jewel–Das Juwel_Die Juwelen
Musician–Der Musiker_Die Musiker
Airplane–Das Flugzeug_Die Flugzeuge
Junk–Die Junk_Die Dschunken
Sunshine–Der Sonnenschein_Die Sonne Scheint
Lad–Der Knabe_Die Jungs
Elf–Der Elf_Die Elfen
Protest–Der Protest_Die Proteste
Hunt–Die Jagd_Die Jagden
Executive–Die Exekutive_Die Führungskräfte
Diary–Das Tagebuch_Die Tagebücher
Aspect–Das Aspekt_Die Aspekte
Dial–Das Zifferblatt_Die Zifferblätter
Slipper–Der Hausschuh_Die Pantoffeln
Actress–Die Schauspielerin_Die Schauspielerinnen
Shooting–Das Shooting_Die Dreharbeiten
Earring–Der Ohrring_Die Ohrringe
Ant–Die Ameise_Die Ameisen
Patty–Die Patty_Die Bratlinge
Sauce–Die Sauce_Die Soßen
Missile–Die Rakete_Die Raketen
Intensity–Die Intensität_Die Intensitäten
Ditch–Der Graben_Die Gräben
Daisy–Das Gänseblümchen_Das Gänseblümchen
Chapel–Die Kapelle_Die Kapellen
Swamp–Der Sumpf_Die Sümpfe
Relation–Die Beziehung_Die Beziehungen
Guess–Die Vermutung_Die Vermutungen
Crane–Der Kran_Die Kräne
Encounter–Die Begegnung_Die Begegnungen
Sequence–Die Sequenz_Die Sequenzen
Fragment–Das Fragment_Die Fragmente
Draft–Der Entwurf_Die Entwürfe
Diner–Das Diner_Diners
Function–Die Funktion_Die Funktionen
Organization–Die Organisation_Die Organisationen
Skeleton–Das Skelett_Die Skelette
Misery–Das Elend_Das Elend
Herb–Das Kraut_Die Kräuter
Stump–Der Stumpf_Die Stümpfe
Stake–Der Einsatz_Die Einsätze
Puff–Die Puff_Die Windbeutel
Creation–Die Kreation_Die Kreationen
Wake–Das Gefolge_Die Totenwache
Wizard–Der Zauberer_Die Zauberer
Mat–Die Matte_Die Matten
Seal–Die Dichtung_Die Dichtungen
Twilight–Das Zwielicht_Die Dämmerungen
Grunt–Das Grunzen_Das Grunzen
Punishment–Die Strafe_Die Strafen
Clan–Der Clan_Die Clans
Copper–Das Kupfer_Die Kupfer
Debris–Die Trümmer_Die Debrises
Painter–Der Maler_Die Maler
Steering–Das Steuer_Die Lenkungen
Math–Die Mathematik_Die Mathematik
Recognition–Die Erkennung_Die Anerkennungen
Temper–Die Stimmung_Die Gemüter
Regret–Das Bedauern_Die Reue
Destination–Das Ziel_Die Ziele
Mill–Die Mühle_Die Mühlen
Error–Der Fehler_Die Fehler
Romance–Die Romantik_Die Romane
Topic–Das Thema_Die Themen
Patio–Die Terrasse_Die Innenhöfe
Shovel–Die Schaufel_Schaufeln
Pajamas–Die Schlafanzüge_Die Pajamases
EMail–Die Email_Die EMails
Pigeon–Die Taube_Die Tauben
Dinosaur–Der Dinosaurier_Die Dinosaurier
Industry–Die Branche_Die Industrie
Operator–Der Betreiber_Die Betreiber
Lift–Der Lift_Die Lifte
Counselor–Der Ratgeber_Die Berater
Gathering–Die Versammlung_Die Versammlungen
Principle–Das Prinzip_Die Grundsätze
Drama–Das Drama_Die Dramen
Chick–Das Küken_Die Küken
Chart–Das Diagramm_Die Charts
Campaign–Die Kampagne_Die Kampagnen
Laurel–Der Lorbeer_Die Lorbeeren
Steak–Das Steak_Die Steaks
Criminal–Der Kriminelle_Die Verbrecher
Globe–Der Globus_Die Kugeln
Bruise–Der Bluterguss_Die Blauen Flecken
Knob–Der Knopf_Die Noppen
Killing–Das Töten_Die Morde
Sweetheart–Der Schatz_Die Lieblinge
Opera–Die Oper_Die Opern
Frost–Der Frost_Die Fröste
Nipple–Der Nippel_Die Brustwarzen
Reverend–Der Pfarrer_Die Pastoren
Haze–Die Trübung_Die Trübungen
Flood–Das Hochwasser_Die Fluten
Carol–Das Weihnachtslied_Die Weihnachtslieder
Weakness–Die Schwäche_Schwächen
Cooking–Das Kochen_Die Cookings
Butcher–Der Metzger_Die Metzger
Cube–Der Würfel_Die Würfel
Cellar–Der Keller_Die Keller
Hollow–Der Hohl_Die Hohlräume
Bump–Der Höcker_Die Höcker
Halt–Der Halt_Die Haltepunkte
Hay–Das Heu_Hays
Bark–Die Rinde_Die Rinden
Survival–Die Überlebens_Die Überreste
Bunk–Die Etagen_Die Kojen
Bend–Die Biegung_Die Biegungen
Approval–Die Freigabe_Die Zulassungen
Division–Der Unternehmensbereich_Die Abteilungen
Cocktail–Der Cocktail_Die Cocktails
Contest–Der Wettbewerb_Die Neuesten Informationen
Paradise–Das Paradies_Die Paradiese
Razor–Das Rasiermesser_Die Rasierer
Catch–Der Fang_Die Fänge
Blossom–Die Blüte_Die Blüten
Puddle–Die Pfütze_Die Pfützen
Electricity–Der Strom_Die Elektricitäten
Onion–Die Zwiebel_Die Zwiebeln
Laser–Die Laser_Die Laser
Cushion–Das Kissen_Die Kissen
Influence–Der Einfluss_Die Einflüsse
Jump–Der Sprung_Die Sprünge
Cement–Der Zement_Die Zemente
Amber–Die Gelbe_The Ambers
Goddess–Die Göttin_Die Göttinnen
Shack–The Shack_Die Baracken
Sales–Die Verkäufe_Die Saleses
Drift–Die Drift_Die Drifts
Fighting–Die Kämpfe_Die Kämpfe
Braid–Das Geflecht_Die Zöpfe
Theme–Das Thema_Die Themen
Dignity–Die Würde_Die Dignität
Lemon–Die Zitrone_Die Zitronen
Clown–Der Clown_Die Clowns
Assault–Der Angriff_Die Angriffe
Goggle–Die Brille_Die Schutzbrillen
Destruction–Die Zerstörung_Die Zerstörungen
Exception–Die Ausnahme_Die Ausnahmen
Peach–Der Pfirsich_Die Pfirsiche
Wash–Die Wasch_Die Wasch
Release–Die Befreiung_Die Freigaben
Spy–Der Spion_Die Spione
Tag–Die Tag_Die Tags
Bra–Der Bh_Die Bhs
Debt–Die Schuld_Die Schulden
Terrace–Die Terrasse_Die Terrassen
Remains–Die Überbleibsel_Die Remainses
Logic–Die Logik_Die Logik
Joint–Der Joint_Die Gelenke
Pitcher–Der Krug_Die Krüge
Perspective–Die Perspektive_Die Perspektiven
Crop–Die Ernte_Die Ernte
Graduate–Der Diplom_Die Absolventen
Chorus–Der Chor_Die Chöre
Survivor–Der Überlebende_Die Überlebenden
Payment–Die Bezahlung_Zahlungen
Bet–Die Wette_Die Wetten
Revenge–Die Rache_Die Rache
Plaza–Der Platz_Die Plätze
Elder–Der Ältere_Die Ältesten
Ginger–Der Ingwer_Die Ingwer
Surgeon–Der Chirurg_Die Chirurgen
Dash–Der Bindestrich_Die Striche
Sandal–Die Sandale_Die Sandalen
Hatred–Der Hass_Die Hass
Departure–Die Abfahrt_Die Abfahrten
Outline–Der Umriss_Die Umrisse
Raven–Der Rabe_Die Raben
Runner–Der Läufer_Die Läufer
Anticipation–Die Vorfreude_Die Erwartungen
Translation–Die Übersetzung_Die Übersetzungen
Headquarters–Das Hauptquartier_Die Headquarterses
Celebration–Feier_Die Feiern
Agony–Die Qual_Die Qualen
Sneakers–Die Turnschuhe_Die Sneakerses
Terminal–Das Terminal_Die Endgeräte
Expectation–Die Erwartung_Die Erwartungen
Pasture–Die Weide_Die Weiden
Console–Die Konsole_Die Konsolen
Strike–Der Streik_Die Streiks
Rescue–Die Rettung_Die Rettungsaktionen
Badge–Das Abzeichen_Badges
Fund–Der Fonds_Die Mittel
Try–Der Versuch_Die Versuche
Foyer–Das Foyer_Die Foyeies
Pastor–Der Pastor_Die Pastoren
Embrace–Die Umarmung_Die Umarmungen
Puzzle–Das Puzzle_Die Rätsel
Canal–Der Kanal_Die Kanäle
Charity–Die Wohlfahrt_Die Wohltätigkeitsorganisationen
Principal–Der Direktor_Die Auftraggeber
Applause–Der Applaus_Die Beifall
Philosophy–Die Philosophie_Die Philosophien
Trench–Der Graben_Die Gräben
Up–Die Bis_Die Höhen
Nephew–Der Neffe_Die Neffen
Essay–Der Aufsatz_Die Aufsätze
Repair–Die Reparatur_Die Reparaturen
Mix–Der Mix_Die Mixs
Mob–Der Mob_Die Mobs
Barrier–Die Barriere_Die Barrieren
Disk–Die Platte_Die Scheiben
Goodness–Die Güte_Die Goodnesses
Scout–Der Scout_Die Pfadfinder
Importance–Die Wichtigkeit_Die Wichtigkeiten
Destiny–Das Schicksal_Die Schicksale
Aid–Die Beihilfen_Die Beihilfen
Microphone–Das Mikrofon_Die Mikrofone
Label–Das Etikett_Die Etiketten
Pepper–Der Pfeffer_Die Paprika
Coyote–Der Kojote_Die Kojoten
Teaching–Das Lehren_Die Lehren
Burn–Der Brennvorgang_Die Verbrennungen
Vest–Die Weste_Die Westen
Pony–Das Pony_Die Ponys
Donkey–Der Esel_Die Esel
Cycle–Der Kreislauf_Die Zyklen
Gasp–Das Keuchen_Die Keuchen
Irony–Die Ironie_Die Ironien
Award–Die Auszeichnung_Die Auszeichnungen
Grape–Die Traube_Die Trauben
Hesitation–Das Zögern_Die Bedenken
Tavern–Die Taverne_Die Tavernen
Chore–Die Lästige Pflicht_Die Hausarbeiten
Sphere–Die Kugel_Die Kugeln
Sail–Das Segel_Die Segel
Silhouette–Die Silhouette_Die Silhouetten
Institute–Das Institut_Die Institute
Liar–Der Lügner_Die Lügner
Technique–Die Technik_Die Techniken
Index–Der Index_Die Indexs
Plank–Das Brett_Die Bretter
Jerk–Der Ruck_Die Idioten
Growth–Das Wachstum_Die Wucherungen
Stocking–Der Strumpf_Die Strümpfe
Blackness–Die Schwärze_Die Schwärzen
Teen–Der Teenager_Die Jugendlichen
Bracelet–Das Armband_Die Armbänder
Jelly–Gelee_Die Gelees
Diet–Die Diät_Die Diäten
Beef–Das Fleisch_Die Beefs
Concrete–Der Beton_Die Betone
Contrast–Der Kontrast_Die Gegensätze
Banner–Das Banner_Die Banner
Resistance–Der Widerstand_Die Widerstände
Stay–Der Aufenthalt_Die Aufenthalte
Posture–Die Haltung_Die Haltungen
Vodka–Der Wodka_Die Wodkas
Album–Das Album_Die Alben
Era–Die Ära_Die Epochen
Acquaintance–Die Bekanntschaft_Die Bekannten
Revolution–Die Revolution_Die Revolutionen
Nap–Der Nap_Die Noppen
Veil–Der Schleier_Die Schleier
Spectacle–Das Schauspiel_Die Brille
Competition–Der Wettbewerb_Die Wettbewerbe
Scalp–Die Kopfhaut_Die Kopfhaut
Holly–Die Stechpalme_The Hollies
Winner–Der Gewinner_Die Gewinner
Appetite–Der Appetit_Die Appetit
Ivy–Der Efeu_Die Efeu
Cue–Der Cue_Die Stichworte
Strain–Der Stamm_Die Stämme
Niece–Die Nichte_Die Nichten
Galaxy–Die Galaxie_Die Galaxien
Bedside–Die Nacht_Die Bettseiten
Madness–Die Verrücktheit_Die Verrücktheiten
Baker–Der Bäcker_Die Bäcker
Virus–Das Virus_Die Viren
Suffering–Das Leiden_Die Leiden
Slot–Der Schlitz_Die Schlitze
Folder–Der Ordner_Die Hefte
Confession–Das Bekenntnis_Die Geständnisse
Porter–Der Gepäckträger_Die Torhüter
Dessert–Das Dessert_Die Desserts
Dump–Die Müllhalde_Die Deponien
Packet–Das Paket_Die Pakete
Profit–Der Gewinn_Die Gewinne
Grandchild–Der Enkel_Die Enkelkinder
Gossip–Der Tratsch_Der Klatsch
Mare–Die Stute_Die Stuten
Dna–Die Dna_Die Dnas
Torso–Der Rumpf_Die Torsi
Broom–Der Besen_Die Besen
Hoof–Der Huf_Die Hufe
Sensor–Der Sensor_Die Sensoren
Peasant–Der Bauer_Die Bauern
Scholar–Der Gelehrte_Die Gelehrten
Therapy–Die Therapie_Die Therapie
Peanut–Die Erdnuss_Die Erdnüsse
Headline–Die Schlagzeile_Schlagzeilen
Bacon–Der Speck_Die Speck
Stern–Das Heck_Die Hecks
Violin–Die Geige_Die Violinen
